Date,Median,Upper,Lower
1904/11,-0.387,-0.461,-0.317
1904/12,-0.407,-0.484,-0.346
1905/01,-0.46,-0.532,-0.394
1905/02,-0.703,-0.794,-0.647
1905/03,-0.462,-0.535,-0.397
1905/04,-0.555,-0.617,-0.484
1905/05,-0.344,-0.44,-0.287
1905/06,-0.314,-0.402,-0.245
1905/07,-0.297,-0.367,-0.227
1905/08,-0.301,-0.367,-0.247
1905/09,-0.313,-0.385,-0.247
1905/10,-0.363,-0.431,-0.305
1905/11,-0.218,-0.288,-0.152
1905/12,-0.199,-0.273,-0.135
1906/01,-0.075,-0.148,-0.011
1906/02,-0.225,-0.306,-0.166
1906/03,-0.284,-0.356,-0.21
1906/04,-0.115,-0.176,-0.046
1906/05,-0.329,-0.416,-0.268
1906/06,-0.287,-0.372,-0.222
1906/07,-0.315,-0.387,-0.247
1906/08,-0.319,-0.387,-0.262
1906/09,-0.385,-0.459,-0.328
1906/10,-0.351,-0.413,-0.289
1906/11,-0.427,-0.495,-0.36
1906/12,-0.283,-0.357,-0.218
1907/01,-0.431,-0.503,-0.367
1907/02,-0.512,-0.592,-0.45
1907/03,-0.338,-0.408,-0.272
1907/04,-0.507,-0.565,-0.435
1907/05,-0.555,-0.649,-0.499
1907/06,-0.524,-0.611,-0.459
1907/07,-0.402,-0.471,-0.333
1907/08,-0.452,-0.525,-0.407
1907/09,-0.405,-0.473,-0.353
1907/10,-0.359,-0.424,-0.305
1907/11,-0.581,-0.655,-0.529
1907/12,-0.525,-0.599,-0.464
1908/01,-0.412,-0.486,-0.354
1908/02,-0.413,-0.495,-0.355
1908/03,-0.636,-0.711,-0.565
1908/04,-0.55,-0.611,-0.488
